YEAR,IC,PROJECT,PI,PMID
2025,NIMH,MH002032,"Barry J Richmond, MD",38652102
2025,NIMH,MH002386,"Lee E Eiden, PhD",40102056
2025,NIMH,MH002386,"Lee E Eiden, PhD",38236296
2025,NIMH,MH002386,"Lee E Eiden, PhD",40065551
2025,NIMH,MH002497,"Charles R Gerfen, PhD",40011781
2025,NIMH,MH002497,"Charles R Gerfen, PhD",38937102
2025,NIMH,MH002497,"Charles R Gerfen, PhD",39024096
2025,NIMH,MH002497,"Charles R Gerfen, PhD",40108161
2025,NIMH,MH002497,"Charles R Gerfen, PhD",40312509
2025,NIMH,MH002537,"Peter J Schmidt, MD",39644712
2025,NIMH,MH002588,"Alex  Martin, PhD",38222065
2025,NIMH,MH002588,"Alex  Martin, PhD",39979602
2025,NIMH,MH002588,"Alex  Martin, PhD",38239478
2025,NIMH,MH002588,"Alex  Martin, PhD",39381142
2025,NIMH,MH002619,"Barry J Richmond, MD",38796702
2025,NIMH,MH002619,"Barry J Richmond, MD",38253691
2025,NIMH,MH002619,"Barry J Richmond, MD",39198415
2025,NIMH,MH002619,"Barry J Richmond, MD",40374560
2025,NIMH,MH002652,"Karen F Berman, MD",40162057
2025,NIMH,MH002652,"Karen F Berman, MD",39011872
2025,NIMH,MH002652,"Karen F Berman, MD",39060437
2025,NIMH,MH002652,"Karen F Berman, MD",39730881
2025,NIMH,MH002652,"Karen F Berman, MD",38705917
2025,NIMH,MH002652,"Karen F Berman, MD",38261410
2025,NIMH,MH002652,"Karen F Berman, MD",38688917
2025,NIMH,MH002652,"Karen F Berman, MD",38375233
2025,NIMH,MH002736,"Elisabeth Adams Murray, PhD",38582659
2025,NIMH,MH002736,"Elisabeth Adams Murray, PhD",39658838
2025,NIMH,MH002781,"Daniel  Pine, MD",38175682
2025,NIMH,MH002781,"Daniel  Pine, MD",39422490
2025,NIMH,MH002781,"Daniel  Pine, MD",39732084
2025,NIMH,MH002782,"Daniel  Pine, MD",38175682
2025,NIMH,MH002782,"Daniel  Pine, MD",37345685
2025,NIMH,MH002783,"Peter A Bandettini, BS, PhD",39552158
2025,NIMH,MH002783,"Peter A Bandettini, BS, PhD",40173320
2025,NIMH,MH002783,"Peter A Bandettini, BS, PhD",40079433
2025,NIMH,MH002783,"Peter A Bandettini, BS, PhD",39834697
2025,NIMH,MH002783,"Peter A Bandettini, BS, PhD",39656432
2025,NIMH,MH002783,"Peter A Bandettini, BS, PhD",39101126
2025,NIMH,MH002783,"Peter A Bandettini, BS, PhD",38141965
2025,NIMH,MH002784,"Heather A Cameron, PhD",40310720
2025,NIMH,MH002784,"Heather A Cameron, PhD",39376052
2025,NIMH,MH002793,"Victor W Pike, PhD",39108178
2025,NIMH,MH002793,"Victor W Pike, PhD",40547258
2025,NIMH,MH002793,"Victor W Pike, PhD",39745023
2025,NIMH,MH002793,"Victor W Pike, PhD",38577766
2025,NIMH,MH002793,"Victor W Pike, PhD",39258625
2025,NIMH,MH002793,"Victor W Pike, PhD",38423785
2025,NIMH,MH002793,"Victor W Pike, PhD",38796702
2025,NIMH,MH002793,"Victor W Pike, PhD",38256240
2025,NIMH,MH002793,"Victor W Pike, PhD",38253691
2025,NIMH,MH002793,"Victor W Pike, PhD",39285225
2025,NIMH,MH002793,"Victor W Pike, PhD",40374560
2025,NIMH,MH002793,"Victor W Pike, PhD",39848764
2025,NIMH,MH002793,"Victor W Pike, PhD",38987549
2025,NIMH,MH002793,"Victor W Pike, PhD",39948078
2025,NIMH,MH002795,"Robert  Innis, MD, PhD",38423785
2025,NIMH,MH002795,"Robert  Innis, MD, PhD",38796702
2025,NIMH,MH002795,"Robert  Innis, MD, PhD",38253691
2025,NIMH,MH002795,"Robert  Innis, MD, PhD",39654356
2025,NIMH,MH002803,"Jun  Shen, PhD",39834120
2025,NIMH,MH002803,"Jun  Shen, PhD",39789842
2025,NIMH,MH002804,"Kathleen R Merikangas, PhD",39441700
2025,NIMH,MH002810,"Francis Joseph McMahon, MD",40686931
2025,NIMH,MH002810,"Francis Joseph McMahon, MD",39239979
2025,NIMH,MH002810,"Francis Joseph McMahon, MD",38395906
2025,NIMH,MH002838,"David A Leopold, PhD",38538211
2025,NIMH,MH002838,"David A Leopold, PhD",39358515
2025,NIMH,MH002838,"David A Leopold, PhD",39755201
2025,NIMH,MH002838,"David A Leopold, PhD",38991613
2025,NIMH,MH002838,"David A Leopold, PhD",39214044
2025,NIMH,MH002843,"Francis Joseph McMahon, MD",39667704
2025,NIMH,MH002843,"Francis Joseph McMahon, MD",39011872
2025,NIMH,MH002843,"Francis Joseph McMahon, MD",39593222
2025,NIMH,MH002843,"Francis Joseph McMahon, MD",39843750
2025,NIMH,MH002852,"Robert  Innis, MD, PhD",39654356
2025,NIMH,MH002857,"Carlos Alberto Zarate, MD",40176400
2025,NIMH,MH002857,"Carlos Alberto Zarate, MD",39674325
2025,NIMH,MH002857,"Carlos Alberto Zarate, MD",40328099
2025,NIMH,MH002857,"Carlos Alberto Zarate, MD",39955416
2025,NIMH,MH002857,"Carlos Alberto Zarate, MD",40064429
2025,NIMH,MH002857,"Carlos Alberto Zarate, MD",39054770
2025,NIMH,MH002857,"Carlos Alberto Zarate, MD",39613748
2025,NIMH,MH002857,"Carlos Alberto Zarate, MD",39739012
2025,NIMH,MH002863,"Karen F Berman, MD",38705917
2025,NIMH,MH002863,"Karen F Berman, MD",38261410
2025,NIMH,MH002863,"Karen F Berman, MD",38375233
2025,NIMH,MH002881,"Zheng  Li, PhD",40088452
2025,NIMH,MH002881,"Zheng  Li, PhD",39400175
2025,NIMH,MH002881,"Zheng  Li, PhD",39358023
2025,NIMH,MH002887,"Elisabeth Adams Murray, PhD",40721320
2025,NIMH,MH002887,"Elisabeth Adams Murray, PhD",38527093
2025,NIMH,MH002896,"David A Leopold, PhD",38870015
2025,NIMH,MH002896,"David A Leopold, PhD",38562584
2025,NIMH,MH002898,"David A Leopold, PhD",39755201
2025,NIMH,MH002898,"David A Leopold, PhD",39214044
2025,NIMH,MH002909,"Chris Ian Baker, PhD",39348142
2025,NIMH,MH002909,"Chris Ian Baker, PhD",38820560
2025,NIMH,MH002909,"Chris Ian Baker, PhD",40669128
2025,NIMH,MH002909,"Chris Ian Baker, PhD",39746804
2025,NIMH,MH002920,"Alex  Martin, PhD",39381142
2025,NIMH,MH002920,"Alex  Martin, PhD",39349967
2025,NIMH,MH002920,"Alex  Martin, PhD",40557566
2025,NIMH,MH002922,"Maryland  Pao, BA, MD",39636671
2025,NIMH,MH002922,"Maryland  Pao, BA, MD",39665712
2025,NIMH,MH002922,"Maryland  Pao, BA, MD",39317851
2025,NIMH,MH002922,"Maryland  Pao, BA, MD",39054770
2025,NIMH,MH002922,"Maryland  Pao, BA, MD",40069095
2025,NIMH,MH002922,"Maryland  Pao, BA, MD",39945685
2025,NIMH,MH002922,"Maryland  Pao, BA, MD",39899847
2025,NIMH,MH002922,"Maryland  Pao, BA, MD",39615669
2025,NIMH,MH002927,"Carlos Alberto Zarate, MD",39617360
2025,NIMH,MH002927,"Carlos Alberto Zarate, MD",38982828
2025,NIMH,MH002927,"Carlos Alberto Zarate, MD",40398609
2025,NIMH,MH002927,"Carlos Alberto Zarate, MD",38874947
2025,NIMH,MH002927,"Carlos Alberto Zarate, MD",39755291
2025,NIMH,MH002928,"Bruno B Averbeck, PhD",39321792
2025,NIMH,MH002928,"Bruno B Averbeck, PhD",40374560
2025,NIMH,MH002933,"Peter J Schmidt, MD",38375233
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",38649755
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",39856216
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",38488854
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",37768018
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",40536230
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",40525963
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",37480975
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",40598550
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",40407890
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",39390064
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",39271676
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",39178859
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",38324465
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",39572741
2025,NIMH,MH002949,"Armin  Raznahan, MD, PhD",38878300
2025,NIMH,MH002950,"Mario Alexander Penzo, PhD",40540570
2025,NIMH,MH002951,"Yogita  Chudasama, PhD",39513469
2025,NIMH,MH002951,"Yogita  Chudasama, PhD",38552022
2025,NIMH,MH002951,"Yogita  Chudasama, PhD",40709916
2025,NIMH,MH002951,"Yogita  Chudasama, PhD",40054569
2025,NIMH,MH002953,"Kathleen R Merikangas, PhD",40669703
2025,NIMH,MH002953,"Kathleen R Merikangas, PhD",39299588
2025,NIMH,MH002953,"Kathleen R Merikangas, PhD",40288397
2025,NIMH,MH002953,"Kathleen R Merikangas, PhD",38558204
2025,NIMH,MH002953,"Kathleen R Merikangas, PhD",37179505
2025,NIMH,MH002953,"Kathleen R Merikangas, PhD",39891447
2025,NIMH,MH002954,"Kathleen R Merikangas, PhD",39993533
2025,NIMH,MH002954,"Kathleen R Merikangas, PhD",40311436
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",39927786
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",39907092
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",39138481
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",39800158
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",39515580
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",39912805
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",40584527
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",40213706
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",40472930
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",39710004
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",39755366
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",40098476
2025,NIMH,MH002955,"Carlos Alberto Zarate, MD",39240791
2025,NIMH,MH002956,"Mark H Histed, PhD",39485801
2025,NIMH,MH002959,"Soohyun  Lee, PhD",40403705
2025,NIMH,MH002959,"Soohyun  Lee, PhD",40011781
2025,NIMH,MH002959,"Soohyun  Lee, PhD",40675952
2025,NIMH,MH002962,"Ashura  Buckley, MD",38733760
2025,NIMH,MH002962,"Ashura  Buckley, MD",39987026
2025,NIMH,MH002964,"Samer Saleh Hattar, PhD",38552022
2025,NIMH,MH002964,"Samer Saleh Hattar, PhD",39661675
2025,NIMH,MH002964,"Samer Saleh Hattar, PhD",38467611
2025,NIMH,MH002964,"Samer Saleh Hattar, PhD",40540570
2025,NIMH,MH002966,"Elisha Prem Merriam, PhD",38438256
2025,NIMH,MH002966,"Elisha Prem Merriam, PhD",38809774
2025,NIMH,MH002967,"Mark H Histed, PhD",39485801
2025,NIMH,MH002969,"Melissa A Brotman, PhD, BA",40479619
2025,NIMH,MH002969,"Melissa A Brotman, PhD, BA",40059990
2025,NIMH,MH002969,"Melissa A Brotman, PhD, BA",40675262
2025,NIMH,MH002969,"Melissa A Brotman, PhD, BA",39932763
2025,NIMH,MH002969,"Melissa A Brotman, PhD, BA",40402559
2025,NIMH,MH002969,"Melissa A Brotman, PhD, BA",37851393
2025,NIMH,MH002969,"Melissa A Brotman, PhD, BA",40100902
2025,NIMH,MH002970,"Hugo Alejandro Tejeda, PhD",37804305
2025,NIMH,MH002970,"Hugo Alejandro Tejeda, PhD",39870620
2025,NIMH,MH002970,"Hugo Alejandro Tejeda, PhD",39009835
2025,NIMH,MH002970,"Hugo Alejandro Tejeda, PhD",39653808
2025,NIMH,MH002970,"Hugo Alejandro Tejeda, PhD",38236296
2025,NIMH,MH002970,"Hugo Alejandro Tejeda, PhD",38614102
2025,NIMH,MH002981,"Silvia  Lopez-Guzman, MD, PhD",39971401
2025,NIMH,MH002981,"Silvia  Lopez-Guzman, MD, PhD",38617819
2025,NIMH,MH002981,"Silvia  Lopez-Guzman, MD, PhD",39932763
