,pi,ro,collab,institute,scope
0,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH
1,"Adam G Thomas, DPhil",Data Science and Sharing Team,Kurt  Braunlich,Section on Learning and Plasticity,NIMH
2,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH
3,"Adam G Thomas, DPhil",Data Science and Sharing Team,Meghan Elizabeth Byrne,Section on Development and Affective Neuroscience,NIMH
4,"Adam G Thomas, DPhil",Data Science and Sharing Team,Anthony Edward Galassi,Section on PET Neuroimaging Sciences,NIMH
5,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Daniel R Glen, BS",Scientific and Statistical Computing Core,NIMH
6,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Michael David Gregory, MD",Clinical and Translational Neuroscience Branch,NIMH
7,"Adam G Thomas, DPhil",Data Science and Sharing Team,Simone Paula Haller,Section on Development and Affective Neuroscience,NIMH
8,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH
9,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,NIMH
10,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Shane  Kippenhan, BS, MS, PhD",Clinical and Translational Neuroscience Branch,NIMH
11,"Adam G Thomas, DPhil",Data Science and Sharing Team,Ka Chun  Lam,Machine Learning Core,NIMH
12,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Siyuan  Liu, PhD",Section on Developmental Neurogenomics,NIMH
13,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH
14,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Peter James Molfese, PhD",Functional MRI Core,NIMH
15,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Dylan M Nielson, PhD",Machine Learning Core,NIMH
16,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH
17,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
18,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH
19,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH
20,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Richard C Reynolds, MS, MS",Scientific and Statistical Computing Core,NIMH
22,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Vinai  Roopchansingh, PhD",Functional MRI Core,NIMH
23,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Neda  Sadeghi, PhD",Section on Social and Cognitive Developmental Neuroscience,NIMH
24,"Adam G Thomas, DPhil",Data Science and Sharing Team,Stephen  Sinclair,Section on Neurobiology and Treatment of Mood Disorders,NIMH
25,"Adam G Thomas, DPhil",Data Science and Sharing Team,Jeffrey Donald Stout,Magnetoencephalography Core,NIMH
26,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,NIMH
27,"Adam G Thomas, DPhil",Data Science and Sharing Team,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,NIMH
34,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH
35,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
37,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Elisha Prem Merriam, PhD",Computational Neuroimaging and Perception Team,NIMH
38,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Peter James Molfese, PhD",Functional MRI Core,NIMH
39,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
40,"Alex  Martin, PhD",Section on Cognitive Neuropsychology,"Francisco  Pereira, PhD",Machine Learning Core,NIMH
46,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH
47,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Peter A Bandettini, BS, PhD",Section on Functional Imaging Methods,NIMH
48,"Allison Carol Nugent, PhD",Magnetoencephalography Core,"Karen F Berman, MD",Clinical and Translational Neuroscience Branch,NIMH
