institution,lat,lon,source
Addis Ababa University,9.01336,38.74698,nominatim
Allen Institute,19.17021,72.95341,nominatim
Allen Institute for Brain Science,47.62510,-122.33908,nominatim
Alto Neuroscience (United States),37.44159,-122.16938,nominatim
Ameican Foundation for Suicide Prevention,40.70610,-74.00870,hand:NYC HQ
American Academy of Pediatrics,38.19107,-84.87523,nominatim
American Foundation for Suicide Prevention,40.70610,-74.00870,hand:NYC HQ
American University,38.93777,-77.08946,nominatim
"American University, Chemistry",33.90066,35.47961,nominatim
Association for Creatine Deficiencies,33.01980,-117.27920,hand:Carlsbad CA HQ
"Bar-Ilan University, Azrieli Faculty of Medicine",32.06933,34.84334,nominatim
"Basque Center on Cognition, Brain and Language",43.29434,-1.98606,nominatim
Baylor College of Medicine,29.71054,-95.39581,nominatim
"Baylor College of Medicine, Pediatric Neurology and Developmental Neuroscience",29.71054,-95.39581,nominatim
"Baylor College of Medicine, Psychiatry",29.71054,-95.39581,nominatim
Beijing Normal University,39.95976,116.35972,nominatim
Boston Children's Hospital,42.33717,-71.10568,nominatim
"Boston Children's Hospital, Dept of Emergency Psychiatry",42.33717,-71.10568,nominatim
Boys Town National Research Hospital,41.25074,-96.13463,nominatim
Broad Institute,42.36816,-71.08698,nominatim
Brown University,41.81864,-71.40880,nominatim
"Brown University, Computer Science",41.81864,-71.40880,nominatim
"Brown University, Psychiatry and Human Behavior",41.81864,-71.40880,nominatim
Burke Medical Research Institute,33.04822,-81.95760,nominatim
Carnegie Mellon University,40.44392,-79.94283,nominatim
"Catholic University of America, Department of Psychology",38.93910,-76.99996,nominatim
Centre for Addiction and Mental Health,43.65550,-79.40440,hand:Toronto
"Charité - Universitätsmedizin Berlin, Department of Psychiatry and Neurosciences",52.52999,13.34866,nominatim
Child Mind Institute,40.74200,-73.98450,hand:NYC
"Child Mind Institute, New York",40.74200,-73.98450,hand:NYC
Children's Healthcare of Atlanta,34.03688,-84.29262,nominatim
Children's Hospital of Los Angeles,34.09769,-118.29008,nominatim
Children's Hospital of Philadelphia,39.94770,-75.19498,nominatim
Chinese University of Hong Kong,22.41409,114.21002,nominatim
City University of New York,40.80775,-73.96249,nominatim
Cleveland Clinic,41.50217,-81.61982,nominatim
Cold Spring Harbor Laboratory,40.86235,-73.46999,nominatim
Columbia University,40.80775,-73.96249,nominatim
Columbia University Medical Center,14.57781,120.98591,nominatim
"Columbia University Medical Center, Department of Pharmacology",14.57781,120.98591,nominatim
"Columbia University, Center for Theoretical Neuroscience",40.80775,-73.96249,nominatim
"Columbia University, Department of Neuroscience",40.80775,-73.96249,nominatim
Concert Health,36.77951,-76.09297,nominatim
Cornell University,42.45292,-76.48006,nominatim
Coventry University,52.40564,-1.49972,nominatim
"Creighton University Medical Center, Psychology",41.23950,-96.03112,nominatim
"Dartmouth College, Psychological and Brain Sciences",43.70468,-72.29421,nominatim
David Geffen School of Medicine at UCLA,34.06640,-118.44410,hand:UCLA Los Angeles
"Devinci Research Center, De Vinci Research Center",48.89650,2.23230,hand:Paris La Defense
"Dickinson College, Psychology Department",40.20281,-77.19957,nominatim
Douglas Mental Health University Institute,45.44255,-73.58572,nominatim
Duke University,36.00016,-78.94423,nominatim
Duke University Health System,36.00016,-78.94423,nominatim
Duke University School of Medicine,36.00016,-78.94423,nominatim
"Duke University, Biomedical Engineering",36.00016,-78.94423,nominatim
Durham VA Medical Center,36.16346,-115.17195,nominatim
East Carolina University,35.63285,-77.48527,nominatim
Emory University,33.80045,-84.31724,nominatim
Erasmus MC,51.91093,4.46805,nominatim
Ethiopian Pediatrics Society,9.01080,38.76130,hand:Addis Ababa
Flory Institute,-37.80040,144.96180,hand:Florey Institute Melbourne
Foot and Ankle Specialists of the Mid-Atlantic,39.08400,-77.15280,hand:Rockville MD
Fordham University,40.86173,-73.88603,nominatim
Forschungszentrum,50.00910,8.65381,nominatim
Forschungszentrum Jülich,50.90540,6.41187,nominatim
Geisinger Health System,41.33100,-75.94950,nominatim
"George Washington University, Anesthesiology",38.89986,-77.04745,nominatim
"George Washington University, Psychology",38.89863,-77.04780,nominatim
Georgetown University,38.90894,-77.07458,nominatim
"Georgetown University Medical Center, Psychiatry",38.90894,-77.07458,nominatim
Georgia State University,33.75359,-84.38542,nominatim
German Center for Neurodegenerative Diseases,50.69970,7.08730,hand:Bonn
Harvard Medical School,42.33692,-71.10389,nominatim
Harvard University,42.36574,-71.12221,nominatim
"Harvard University, Childrens Hospital Department of Neurology",42.36574,-71.12221,nominatim
"Harvard University, Division of Sleep and Circadian Disorders",42.36574,-71.12221,nominatim
"Helmholtz Centrum, Heidelberg, Helmholtz-Zentrum",49.99275,8.25867,nominatim
Hong Kong Polytechnic University,22.30272,114.17804,nominatim
Howard University,38.92211,-77.01963,nominatim
"Howard University, Biology",38.92154,-77.01927,nominatim
Icahn School of Medicine at Mount Sinai,40.78979,-73.95325,nominatim
"Icahn School of Medicine at Mount Sinai, Department of Psychiatry",40.78979,-73.95325,nominatim
"Icahn School of Medicine at Mount Sinai, Neuroscience",40.78979,-73.95325,nominatim
"Icahn School of Medicine at Mount Sinai, Psychiatry",40.78979,-73.95325,nominatim
Indian Health Service,39.06201,-77.11244,nominatim
Indiana University Bloomington,39.18024,-86.50935,nominatim
Inserm,45.74426,4.87653,nominatim
"Institute for Basic Science, Center for Neuroscience Imaging Research (CNIR)",36.37745,127.38499,nominatim
"Janelia Research Campus, Ashburn, Virginia",39.07106,-77.46533,nominatim
"Johns Hopkins Medicine, The Solomon H. Snyder Department of Neuroscience",39.28741,-76.55237,nominatim
Johns Hopkins University,39.33020,-76.62185,nominatim
"Johnson & Johnson, Biomarker Signatures and Global Imaging",-33.40321,-70.57830,nominatim
KU Leuven,50.80571,3.29154,nominatim
Karolinska Institutet,59.35155,18.03107,nominatim
"Keio University, School of Medicine",35.55382,139.64141,nominatim
Kennedy Krieger Institute,39.29987,-76.59328,nominatim
King's College London,51.50309,-0.09000,nominatim
Maastricht University,50.84721,5.68595,nominatim
Macquarie University,-33.77420,151.11271,nominatim
"Mass General Brigham, Psychiatry",42.39153,-71.07888,nominatim
Massachusetts General Hospital,42.36286,-71.06875,nominatim
"Massachusetts General Hospital, Martinos Center",42.36286,-71.06875,nominatim
"Massachusetts General Hospital, Neurology",42.36286,-71.06875,nominatim
Massachusetts Institute of Technology,42.35825,-71.09663,nominatim
