YEAR,IC,PROJECT,PI,PMID,is_open_data
2019,CC,CL080013,"Adrian Marcelo Zelazny, PhD",28915071,True
2019,CC,CL080013,"Adrian Marcelo Zelazny, PhD",29056478,False
2019,CC,CL080012,"Adrian Marcelo Zelazny, PhD",29321721,True
2019,CC,CL080012,"Adrian Marcelo Zelazny, PhD",29373689,False
2019,CC,CL080012,"Adrian Marcelo Zelazny, PhD",29454652,False
2019,CC,CL080013,"Adrian Marcelo Zelazny, PhD",31002074,False
2019,CC,CL080012,"Adrian Marcelo Zelazny, PhD",31002074,False
2019,CC,CL080022,Alina Emilia Dulau-Florea,29982419,False
2019,CC,CL001192,Alyson Coleen Ross,29405538,False
2019,CC,CL000909,Alyssa Todaro Brooks,30555713,False
2019,CC,CL090033,"Andrew J Mannes, MD",28699403,False
2019,CC,CL090033,"Andrew J Mannes, MD",28991117,True
2019,CC,CL090035,"Andrew J Mannes, MD",28991117,True
2019,CC,CL090033,"Andrew J Mannes, MD",29352128,True
2019,CC,CL090033,"Andrew J Mannes, MD",29408808,True
2019,CC,CL090034,"Andrew J Mannes, MD",29463848,False
2019,CC,CL090033,"Andrew J Mannes, MD",30015705,False
2019,CC,CL090035,"Andrew J Mannes, MD",30015705,False
2019,CC,CL090033,"Andrew J Mannes, MD",30074088,False
2019,CC,CL090034,"Andrew J Mannes, MD",30604130,False
2019,CC,CL009024,"Daniel S Chertow, MD",29982557,False
2019,CC,CL080017,"David Barry Sacks, MBChB",31693448,False
2019,CC,CL002120,"David F Stroncek, MD",29155426,False
2019,CC,CL002120,"David F Stroncek, MD",29368612,False
2019,CC,CL002120,"David F Stroncek, MD",29540180,True
2019,CC,CL002119,"David F Stroncek, MD",29655599,False
2019,CC,CL002120,"David F Stroncek, MD",29812997,True
2019,CC,CL002120,"David F Stroncek, MD",30012146,True
2019,CC,CL002119,"David F Stroncek, MD",31178392,False
2019,CC,CL010537,"David S Wendler, PhD",29495987,False
2019,CC,CL010537,"David S Wendler, PhD",29889279,False
2019,CC,CL010537,"David S Wendler, PhD",30280582,False
2019,CC,CL010537,"David S Wendler, PhD",30586177,False
2019,CC,CL060017,"Diane Louise Damiano, PhD",30223739,False
2019,CC,CL060017,"Diane Louise Damiano, PhD",30510358,False
2019,CC,CL090037,"Dima Ali Hammoud, MD",29204344,False
2019,CC,CL090037,"Dima Ali Hammoud, MD",30007411,False
2019,CC,CL090037,"Dima Ali Hammoud, MD",31138753,True
2019,CC,CL090037,"Dima Ali Hammoud, MD",31178771,True
2019,CC,CL090037,"Dima Ali Hammoud, MD",31230667,False
2019,CC,CL060062,"Frances T Sheehan, BS, MS, PhD",30422967,False
2019,CC,CL002000,"Gwenyth R Wallen, RN, PhD",29377714,False
2019,CC,CL002119,"Harvey Klein, MD",29655599,False
2019,CC,CL002121,"Harvey Klein, MD",29742812,False
2019,CC,CL002119,"Harvey Klein, MD",31178392,False
2019,CC,CL009010,"Henry Masur, MD",29479550,False
2019,CC,CL009010,"Henry Masur, MD",30353737,False
2019,CC,CL009010,"Henry Masur, MD",30383918,False
2019,CC,CL009021,"Henry Masur, MD",30383918,False
2019,CC,CL009010,"Henry Masur, MD",30384330,False
2019,CC,CL009010,"Henry Masur, MD",30556035,False
2019,CC,CL009021,"Henry Masur, MD",30556035,False
2019,CC,CL090027,"Irina Maric, MD",28792255,False
2019,CC,CL090027,"Irina Maric, MD",29978754,False
2019,CC,CL080004,"Irina Maric, MD",30543818,True
2019,CC,CL080004,"Irina Maric, MD",30943337,False
2019,CC,CL090020,"Joseph A Frank, MD",29330386,False
2019,CC,CL040014,"Joseph A Frank, MD",29330386,False
2019,CC,CL040014,"Joseph A Frank, MD",29361373,False
2019,CC,CL040014,"Joseph A Frank, MD",30216653,False
2019,CC,CL040014,"Joseph A Frank, MD",30279741,False
2019,CC,CL040014,"Joseph A Frank, MD",30344419,False
2019,CC,CL040014,"Joseph A Frank, MD",31253515,False
2019,CC,CL040014,"Joseph A Frank, MD",31345243,False
2019,CC,CL000192,"Joseph A Kovacs, MD",29992629,True
2019,CC,CL008075,"Joseph A Kovacs, MD",31415245,False
2019,CC,CL010304,"Karen Moore Frank, MD, PhD",28927821,False
2019,CC,CL010304,"Karen Moore Frank, MD, PhD",29111217,True
2019,CC,CL010304,"Karen Moore Frank, MD, PhD",29211058,False
2019,CC,CL010304,"Karen Moore Frank, MD, PhD",29358286,False
2019,CC,CL010356,"Karen Moore Frank, MD, PhD",29437920,False
