IC,YEAR,IPID
CC,2024,134085
CC,2024,134107
CC,2024,134075
CC,2024,134071
CC,2024,134102
CC,2024,134124
CC,2024,134139
CC,2024,134117
CC,2024,134152
CC,2024,134164
CC,2024,138075
CC,2024,134070
CC,2024,134155
CC,2024,134111
CC,2024,134073
CC,2024,134063
CC,2024,134131
CC,2024,134170
CC,2024,134066
CC,2024,134108
CC,2024,134148
CC,2024,134086
CC,2024,134104
CC,2024,134165
CC,2024,134103
CC,2024,134080
CC,2024,134094
CC,2024,134084
CC,2024,134099
CC,2024,134074
CC,2024,134126
CC,2024,134060
CC,2024,134091
CC,2024,134133
CC,2024,134106
CC,2024,137173
CC,2024,134054
CC,2024,134169
CC,2024,134076
CC,2024,134068
CC,2024,134132
CC,2024,134161
CC,2024,134128
CC,2024,134166
CC,2024,134144
CC,2024,134168
CC,2024,134140
CC,2024,134069
CC,2024,134087
CC,2024,134059
CC,2024,134150
CC,2024,134119
CC,2024,134153
CC,2024,134088
CC,2024,134055
CC,2024,134149
CC,2024,134092
CC,2024,134162
CC,2024,134058
CC,2024,134100
CC,2024,134079
CC,2024,134123
CC,2024,134114
CC,2024,134113
CC,2024,134158
CC,2024,137333
CC,2024,134135
CC,2024,134078
CC,2024,134077
CC,2024,134110
CC,2024,134137
CC,2024,134154
CC,2024,134121
CC,2024,134083
CC,2024,134061
CC,2024,134138
CC,2024,134116
CC,2024,134112
CC,2024,134157
CC,2024,134118
CC,2024,134067
CC,2024,134120
CC,2024,134095
CC,2024,134105
CC,2024,137092
CC,2024,134098
CC,2024,134134
CC,2024,134130
CC,2024,134057
CC,2024,134064
CC,2024,134052
CC,2024,134096
CC,2024,134122
CC,2024,134147
CC,2024,134097
CC,2024,134062
CC,2024,134072
CC,2024,134146
CC,2024,134109
CC,2024,137153
CC,2024,134129
CC,2024,134081
CC,2024,134093
CC,2024,134160
CC,2024,134125
CC,2024,134090
CC,2024,134101
CC,2024,134163
CC,2024,134172
CC,2024,134145
CC,2024,134151
CC,2024,134156
CC,2024,134115
CC,2024,134082
CC,2024,134171
CC,2024,134159
NCATS,2024,134219
NCATS,2024,134186
NCATS,2024,137774
NCATS,2024,134175
NCATS,2024,137455
NCATS,2024,134282
NCATS,2024,134270
NCATS,2024,134301
NCATS,2024,134244
NCATS,2024,138200
NCATS,2024,134269
NCATS,2024,134274
NCATS,2024,137454
NCATS,2024,134249
NCATS,2024,134207
NCATS,2024,134234
NCATS,2024,137462
NCATS,2024,134213
NCATS,2024,138199
NCATS,2024,134264
NCATS,2024,134177
NCATS,2024,137995
NCATS,2024,138215
NCATS,2024,134276
NCATS,2024,134223
NCATS,2024,134278
NCATS,2024,134277
NCATS,2024,134220
NCATS,2024,134280
NCATS,2024,137459
NCATS,2024,134256
NCATS,2024,134262
NCATS,2024,134251
NCATS,2024,134202
NCATS,2024,134183
NCATS,2024,134174
NCATS,2024,134261
NCATS,2024,134221
NCATS,2024,138195
NCATS,2024,134225
NCATS,2024,134297
NCATS,2024,134203
NCATS,2024,137998
