pi,ro,collab,institute,scope,collabing_pi
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Chris Ian Baker, PhD",Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,Kurt  Braunlich,Section on Learning and Plasticity,NIMH,"Chris Ian Baker, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Melissa A Brotman, PhD, BA",Unit on Neuroscience and Novel Therapeutics,NIMH,"Melissa A Brotman, PhD, BA"
"Adam G Thomas, DPhil",Data Science and Sharing Team,Meghan Elizabeth Byrne,Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,Anthony Edward Galassi,Section on PET Neuroimaging Sciences,NIMH,"Robert  Innis, MD, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Daniel R Glen, BS",Scientific and Statistical Computing Core,NIMH,"Paul Andrew Taylor, BS, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Michael David Gregory, MD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,Simone Paula Haller,Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Mark H Histed, PhD",Unit on Neural Computation and Behavior,NIMH,"Mark H Histed, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Robert  Innis, MD, PhD",Section on PET Neuroimaging Sciences,NIMH,"Robert  Innis, MD, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Shane  Kippenhan, BS, MS, PhD",Clinical and Translational Neuroscience Branch,NIMH,"Karen F Berman, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,Ka Chun  Lam,Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Siyuan  Liu, PhD",Section on Developmental Neurogenomics,NIMH,"Armin  Raznahan, MD, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Stefano  Marenco, MD",Human Brain Collection Core,NIMH,"Stefano  Marenco, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Peter James Molfese, PhD",Functional MRI Core,NIMH,"Peter A Bandettini, BS, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Dylan M Nielson, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Allison Carol Nugent, PhD",Magnetoencephalography Core,NIMH,"Allison Carol Nugent, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Francisco  Pereira, PhD",Machine Learning Core,NIMH,"Francisco  Pereira, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Daniel  Pine, MD",Section on Development and Affective Neuroscience,NIMH,"Daniel  Pine, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Armin  Raznahan, MD, PhD",Section on Developmental Neurogenomics,NIMH,"Armin  Raznahan, MD, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Richard C Reynolds, MS, MS",Scientific and Statistical Computing Core,NIMH,"Paul Andrew Taylor, BS, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Vinai  Roopchansingh, PhD",Functional MRI Core,NIMH,"Peter A Bandettini, BS, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Neda  Sadeghi, PhD",Section on Social and Cognitive Developmental Neuroscience,NIMH,"Tonya Jo Hanson White, PhD, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,Stephen  Sinclair,Section on Neurobiology and Treatment of Mood Disorders,NIMH,"Carlos Alberto Zarate, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,Jeffrey Donald Stout,Magnetoencephalography Core,NIMH,"Allison Carol Nugent, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Paul Andrew Taylor, BS, PhD",Scientific and Statistical Computing Core,NIMH,"Paul Andrew Taylor, BS, PhD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Tonya Jo Hanson White, PhD, MD",Section on Social and Cognitive Developmental Neuroscience,NIMH,"Tonya Jo Hanson White, PhD, MD"
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Douglas  Greve, PhD","Massachusetts General Hospital, Martinos Center",EM,
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Russel A Poldrack, PhD","Stanford University, Dept. of Psychology",EM,
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Joyce  Chung, MD",CC,NIH,
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Alan Paul Koretsky, PhD",NINDS,NIH,
"Adam G Thomas, DPhil",Data Science and Sharing Team,Zhiwei  Ma,NINDS,NIH,
"Adam G Thomas, DPhil",Data Science and Sharing Team,"Dardo G Tomasi, PhD",NIAAA,NIH,
