YEAR,IC,PMID,grp
2021,CC,32198075,restIRP
2021,CC,32818422,restIRP
2021,CC,33052363,restIRP
2021,CC,33080426,restIRP
2021,CC,33165614,restIRP
2021,CC,33195983,restIRP
2021,CC,33262219,restIRP
2021,CC,33356838,restIRP
2021,CC,33501968,restIRP
2021,CC,32515862,restIRP
2021,CC,32672866,restIRP
2021,CC,33259376,restIRP
2021,CC,34145719,restIRP
2021,CC,33031942,restIRP
2021,CC,33227508,restIRP
2021,CC,33424545,restIRP
2021,CC,33892151,restIRP
2021,CC,34499774,restIRP
2021,CC,31915907,restIRP
2021,CC,31930156,restIRP
2021,CC,31996388,restIRP
2021,CC,32070947,restIRP
2021,CC,32107125,restIRP
2021,CC,32130814,restIRP
2021,CC,32143993,restIRP
2021,CC,32190560,restIRP
2021,CC,32211948,restIRP
2021,CC,32214365,restIRP
2021,CC,32300896,restIRP
2021,CC,32307270,restIRP
2021,CC,32314228,restIRP
2021,CC,32352918,restIRP
2021,CC,32376643,restIRP
2021,CC,32434040,restIRP
2021,CC,32478955,restIRP
2021,CC,32499157,restIRP
2021,CC,32532513,restIRP
2021,CC,32633674,restIRP
2021,CC,32654028,restIRP
2021,CC,32679272,restIRP
2021,CC,32716685,restIRP
2021,CC,32734314,restIRP
2021,CC,32755168,restIRP
2021,CC,32755355,restIRP
2021,CC,32771771,restIRP
2021,CC,32796848,restIRP
2021,CC,32803282,restIRP
2021,CC,32877244,restIRP
2021,CC,33146796,restIRP
2021,CC,33442676,restIRP
2021,CC,33601166,restIRP
2021,CC,33767213,restIRP
2021,CC,34021380,restIRP
2021,CC,34036187,restIRP
2021,CC,34100010,restIRP
2021,CC,34250326,restIRP
2021,CC,34355163,restIRP
2021,CC,34800622,restIRP
2021,CC,32441594,restIRP
2021,CC,34011832,restIRP
2021,CC,31963118,restIRP
2021,CC,32013784,restIRP
2021,CC,32053790,restIRP
2021,CC,32222812,restIRP
2021,CC,32224769,restIRP
2021,CC,32427334,restIRP
2021,CC,32560095,restIRP
2021,CC,33089311,restIRP
2021,CC,33232303,restIRP
2021,CC,33367731,restIRP
2021,CC,33767405,restIRP
2021,CC,34247526,restIRP
2021,CC,32094223,restIRP
2021,CC,32432944,restIRP
2021,CC,32783108,restIRP
2021,CC,32970800,restIRP
2021,CC,33191271,restIRP
2021,CC,33672268,restIRP
2021,CC,33711246,restIRP
2021,CC,33766558,restIRP
2021,CC,34166557,restIRP
2021,CC,31526779,restIRP
2021,CC,31959992,restIRP
2021,CC,32167176,restIRP
2021,CC,32286905,restIRP
2021,CC,32384903,restIRP
2021,CC,32612991,restIRP
2021,CC,32796275,restIRP
2021,CC,33054091,restIRP
2021,CC,33232788,restIRP
2021,CC,33284949,restIRP
2021,CC,33823169,restIRP
2021,CC,33956057,restIRP
2021,CC,33993466,restIRP
2021,CC,32233115,restIRP
2021,CC,32394875,restIRP
2021,CC,32636140,restIRP
2021,CC,32806931,restIRP
